merge_id_muni,id_muni1980,id_muni1985,id_muni1990,id_muni1995,id_muni2000,id_muni2005,id_muni2010,id_muni2015,id_muni2020,name_muni1980,name_muni1985,name_muni1990,name_muni1995,name_muni2000,name_muni2005,name_muni2010,name_muni2015,name_muni2020,note_merge_consol,note_merge_incorp,note_seirei,note_city,note_town,note_change_zone,note_change_name
2323,2323,2323,2323,2323,2323,2323,2323,2323,2323,青森県 西津軽郡 深浦町,青森県 西津軽郡 深浦町,青森県 西津軽郡 深浦町,青森県 西津軽郡 深浦町,青森県 西津軽郡 深浦町,青森県 西津軽郡 深浦町,青森県 西津軽郡 深浦町,青森県 西津軽郡 深浦町,青森県 西津軽郡 深浦町,2005年3月31日、深浦町(02323)、岩崎村(02325)が合併し、深浦町を新設,,,,,,
2325,2325,2325,2325,2325,2325,2323,2323,2323,2323,青森県 西津軽郡 岩崎村,青森県 西津軽郡 岩崎村,青森県 西津軽郡 岩崎村,青森県 西津軽郡 岩崎村,青森県 西津軽郡 岩崎村,青森県 西津軽郡 深浦町,青森県 西津軽郡 深浦町,青森県 西津軽郡 深浦町,青森県 西津軽郡 深浦町,2005年3月31日、深浦町(02323)、岩崎村(02325)が合併し、深浦町を新設,,,,,,
2343,2343,2343,2343,2343,2343,2343,2343,2343,2343,青森県 中津軽郡 西目屋村,青森県 中津軽郡 西目屋村,青森県 中津軽郡 西目屋村,青森県 中津軽郡 西目屋村,青森県 中津軽郡 西目屋村,青森県 中津軽郡 西目屋村,青森県 中津軽郡 西目屋村,青森県 中津軽郡 西目屋村,青森県 中津軽郡 西目屋村,,,,,,,
2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,青森県 南津軽郡 藤崎町,青森県 南津軽郡 藤崎町,青森県 南津軽郡 藤崎町,青森県 南津軽郡 藤崎町,青森県 南津軽郡 藤崎町,青森県 南津軽郡 藤崎町,青森県 南津軽郡 藤崎町,青森県 南津軽郡 藤崎町,青森県 南津軽郡 藤崎町,2005年3月28日、藤崎町(02361)、常盤村(02366)が合併し、藤崎町を新設,,,,,,
2366,2366,2366,2366,2366,2366,2361,2361,2361,2361,青森県 南津軽郡 常盤村,青森県 南津軽郡 常盤村,青森県 南津軽郡 常盤村,青森県 南津軽郡 常盤村,青森県 南津軽郡 常盤村,青森県 南津軽郡 藤崎町,青森県 南津軽郡 藤崎町,青森県 南津軽郡 藤崎町,青森県 南津軽郡 藤崎町,2005年3月28日、藤崎町(02361)、常盤村(02366)が合併し、藤崎町を新設,,,,,,
2362,2362,2362,2362,2362,2362,2362,2362,2362,2362,青森県 南津軽郡 大鰐町,青森県 南津軽郡 大鰐町,青森県 南津軽郡 大鰐町,青森県 南津軽郡 大鰐町,青森県 南津軽郡 大鰐町,青森県 南津軽郡 大鰐町,青森県 南津軽郡 大鰐町,青森県 南津軽郡 大鰐町,青森県 南津軽郡 大鰐町,,,,,,,
2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,青森県 南津軽郡 田舎館村,青森県 南津軽郡 田舎館村,青森県 南津軽郡 田舎館村,青森県 南津軽郡 田舎館村,青森県 南津軽郡 田舎館村,青森県 南津軽郡 田舎館村,青森県 南津軽郡 田舎館村,青森県 南津軽郡 田舎館村,青森県 南津軽郡 田舎館村,,,,,,,
2381,2381,2381,2381,2381,2381,2381,2381,2381,2381,青森県 北津軽郡 板柳町,青森県 北津軽郡 板柳町,青森県 北津軽郡 板柳町,青森県 北津軽郡 板柳町,青森県 北津軽郡 板柳町,青森県 北津軽郡 板柳町,青森県 北津軽郡 板柳町,青森県 北津軽郡 板柳町,青森県 北津軽郡 板柳町,,,,,,,
2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,青森県 北津軽郡 鶴田町,青森県 北津軽郡 鶴田町,青森県 北津軽郡 鶴田町,青森県 北津軽郡 鶴田町,青森県 北津軽郡 鶴田町,青森県 北津軽郡 鶴田町,青森県 北津軽郡 鶴田町,青森県 北津軽郡 鶴田町,青森県 北津軽郡 鶴田町,,,,,,,
2383,2383,2383,2383,2383,2383,2387,2387,2387,2387,青森県 北津軽郡 中里町,青森県 北津軽郡 中里町,青森県 北津軽郡 中里町,青森県 北津軽郡 中里町,青森県 北津軽郡 中里町,青森県 北津軽郡 中泊町,青森県 北津軽郡 中泊町,青森県 北津軽郡 中泊町,青森県 北津軽郡 中泊町,2005年3月28日、中里町(02383)、小泊村(02386)が合併し、中泊町(02387)を新設,,,,,,
2386,2386,2386,2386,2386,2386,2387,2387,2387,2387,青森県 北津軽郡 小泊村,青森県 北津軽郡 小泊村,青森県 北津軽郡 小泊村,青森県 北津軽郡 小泊村,青森県 北津軽郡 小泊村,青森県 北津軽郡 中泊町,青森県 北津軽郡 中泊町,青森県 北津軽郡 中泊町,青森県 北津軽郡 中泊町,2005年3月28日、中里町(02383)、小泊村(02386)が合併し、中泊町(02387)を新設,,,,,,
2387,,,,,,2387,2387,2387,2387,,,,,,青森県 北津軽郡 中泊町,青森県 北津軽郡 中泊町,青森県 北津軽郡 中泊町,青森県 北津軽郡 中泊町,2005年3月28日、中里町(02383)、小泊村(02386)が合併し、中泊町(02387)を新設,,,,,,
2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,青森県 上北郡 野辺地町,青森県 上北郡 野辺地町,青森県 上北郡 野辺地町,青森県 上北郡 野辺地町,青森県 上北郡 野辺地町,青森県 上北郡 野辺地町,青森県 上北郡 野辺地町,青森県 上北郡 野辺地町,青森県 上北郡 野辺地町,,,,,,,
2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,青森県 上北郡 七戸町,青森県 上北郡 七戸町,青森県 上北郡 七戸町,青森県 上北郡 七戸町,青森県 上北郡 七戸町,青森県 上北郡 七戸町,青森県 上北郡 七戸町,青森県 上北郡 七戸町,青森県 上北郡 七戸町,2005年3月31日、七戸町(02402)、天間林村(02409)が合併し、七戸町を新設,,,,,,
2409,2409,2409,2409,2409,2409,2402,2402,2402,2402,青森県 上北郡 天間林村,青森県 上北郡 天間林村,青森県 上北郡 天間林村,青森県 上北郡 天間林村,青森県 上北郡 天間林村,青森県 上北郡 七戸町,青森県 上北郡 七戸町,青森県 上北郡 七戸町,青森県 上北郡 七戸町,2005年3月31日、七戸町(02402)、天間林村(02409)が合併し、七戸町を新設,,,,,,
2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,青森県 上北郡 六戸町,青森県 上北郡 六戸町,青森県 上北郡 六戸町,青森県 上北郡 六戸町,青森県 上北郡 六戸町,青森県 上北郡 六戸町,青森県 上北郡 六戸町,青森県 上北郡 六戸町,青森県 上北郡 六戸町,,,,,,,
2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,青森県 上北郡 横浜町,青森県 上北郡 横浜町,青森県 上北郡 横浜町,青森県 上北郡 横浜町,青森県 上北郡 横浜町,青森県 上北郡 横浜町,青森県 上北郡 横浜町,青森県 上北郡 横浜町,青森県 上北郡 横浜町,,,,,,,
2407,2407,2407,2407,2407,2407,2408,2408,2408,2408,青森県 上北郡 上北町,青森県 上北郡 上北町,青森県 上北郡 上北町,青森県 上北郡 上北町,青森県 上北郡 上北町,青森県 上北郡 東北町,青森県 上北郡 東北町,青森県 上北郡 東北町,青森県 上北郡 東北町,2005年3月31日、上北町(02407)、東北町(02408)が合併し、東北町を新設,,,,,,
2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,青森県 上北郡 東北町,青森県 上北郡 東北町,青森県 上北郡 東北町,青森県 上北郡 東北町,青森県 上北郡 東北町,青森県 上北郡 東北町,青森県 上北郡 東北町,青森県 上北郡 東北町,青森県 上北郡 東北町,2005年3月31日、上北町(02407)、東北町(02408)が合併し、東北町を新設,,,,,,
2411,2411,2411,2411,2411,2411,2411,2411,2411,2411,青森県 上北郡 六ヶ所村,青森県 上北郡 六ヶ所村,青森県 上北郡 六ヶ所村,青森県 上北郡 六ヶ所村,青森県 上北郡 六ヶ所村,青森県 上北郡 六ヶ所村,青森県 上北郡 六ヶ所村,青森県 上北郡 六ヶ所村,青森県 上北郡 六ヶ所村,,,,,,,
2403,2403,2403,2403,2403,2403,2403,2412,2412,2412,青森県 上北郡 百石町,青森県 上北郡 百石町,青森県 上北郡 百石町,青森県 上北郡 百石町,青森県 上北郡 百石町,青森県 上北郡 百石町,青森県 上北郡 おいらせ町,青森県 上北郡 おいらせ町,青森県 上北郡 おいらせ町,2006年3月1日、百石町(02403)、下田町(02410)が合併し、おいらせ町(02412)を新設,,,,,,
2410,2410,2410,2410,2410,2410,2410,2412,2412,2412,青森県 上北郡 下田町,青森県 上北郡 下田町,青森県 上北郡 下田町,青森県 上北郡 下田町,青森県 上北郡 下田町,青森県 上北郡 下田町,青森県 上北郡 おいらせ町,青森県 上北郡 おいらせ町,青森県 上北郡 おいらせ町,2006年3月1日、百石町(02403)、下田町(02410)が合併し、おいらせ町(02412)を新設,,,,,,
2412,,,,,,,2412,2412,2412,,,,,,,青森県 上北郡 おいらせ町,青森県 上北郡 おいらせ町,青森県 上北郡 おいらせ町,2006年3月1日、百石町(02403)、下田町(02410)が合併し、おいらせ町(02412)を新設,,,,,,
2423,2423,2423,2423,2423,2423,2423,2423,2423,2423,青森県 下北郡 大間町,青森県 下北郡 大間町,青森県 下北郡 大間町,青森県 下北郡 大間町,青森県 下北郡 大間町,青森県 下北郡 大間町,青森県 下北郡 大間町,青森県 下北郡 大間町,青森県 下北郡 大間町,,,,,,,
