"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","1-1-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女別人口－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","/表章事項 コード","2020_01","2020_01","2020_01"
"","","","","/表章事項","人口【人】","人口【人】","人口【人】"
"","","","","/男女 コード","0","1","2"
"時間軸（年次） コード","時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む） コード","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020000000","2020年","04104","仙台市太白区","","234,758","112,968","121,790"
"2020000000","2020年","04105","仙台市泉区","","212,149","101,743","110,406"
"2020000000","2020年","04202","石巻市","","140,151","68,338","71,813"
"2020000000","2020年","04203","塩竈市","","52,203","24,877","27,326"
"2020000000","2020年","04205","気仙沼市","","61,147","29,905","31,242"
"2020000000","2020年","04206","白石市","","32,758","15,976","16,782"
"2020000000","2020年","04207","名取市","","78,718","38,567","40,151"
"2020000000","2020年","04208","角田市","","27,976","13,797","14,179"
"2020000000","2020年","04209","多賀城市","","62,827","31,359","31,468"
"2020000000","2020年","04211","岩沼市","","44,068","21,684","22,384"
"2020000000","2020年","04212","登米市","","76,037","37,163","38,874"
"2020000000","2020年","04213","栗原市","","64,637","31,134","33,503"
"2020000000","2020年","04214","東松島市","","39,098","19,089","20,009"
"2020000000","2020年","04215","大崎市","","127,330","62,429","64,901"
"2020000000","2020年","04216","富谷市","","51,651","25,091","26,560"
"2020000000","2020年","04301","蔵王町","","11,418","5,569","5,849"
"2020000000","2020年","04302","七ヶ宿町","","1,262","620","642"
"2020000000","2020年","04321","大河原町","","23,571","11,530","12,041"
"2020000000","2020年","04322","村田町","","10,666","5,293","5,373"
"2020000000","2020年","04323","柴田町","","38,271","19,342","18,929"
"2020000000","2020年","04324","川崎町","","8,345","4,100","4,245"
"2020000000","2020年","04341","丸森町","","12,262","6,117","6,145"
"2020000000","2020年","04361","亘理町","","33,087","16,212","16,875"
"2020000000","2020年","04362","山元町","","12,046","5,978","6,068"
"2020000000","2020年","04401","松島町","","13,323","6,414","6,909"
"2020000000","2020年","04404","七ヶ浜町","","18,132","9,024","9,108"
"2020000000","2020年","04406","利府町","","35,182","17,162","18,020"
"2020000000","2020年","04421","大和町","","28,786","14,979","13,807"
"2020000000","2020年","04422","大郷町","","7,813","3,814","3,999"
"2020000000","2020年","04424","大衡村","","5,849","2,938","2,911"
"2020000000","2020年","04444","色麻町","","6,698","3,246","3,452"
"2020000000","2020年","04445","加美町","","21,943","10,767","11,176"
"2020000000","2020年","04501","涌谷町","","15,388","7,520","7,868"
"2020000000","2020年","04505","美里町","","23,994","11,616","12,378"
"2020000000","2020年","04581","女川町","","6,430","3,351","3,079"
"2020000000","2020年","04606","南三陸町","","12,225","5,980","6,245"
"2020000000","2020年","05000","秋田県","","959,502","452,439","507,063"
"2020000000","2020年","05201","秋田市","","307,672","145,411","162,261"
"2020000000","2020年","05202","能代市","","49,968","22,932","27,036"
"2020000000","2020年","05203","横手市","","85,555","40,326","45,229"
"2020000000","2020年","05204","大館市","","69,237","32,551","36,686"
"2020000000","2020年","05206","男鹿市","","25,154","11,860","13,294"
"2020000000","2020年","05207","湯沢市","","42,091","20,115","21,976"
"2020000000","2020年","05209","鹿角市","","29,088","13,684","15,404"
"2020000000","2020年","05210","由利本荘市","","74,707","35,842","38,865"
"2020000000","2020年","05211","潟上市","","31,720","14,967","16,753"
"2020000000","2020年","05212","大仙市","","77,657","36,287","41,370"
"2020000000","2020年","05213","北秋田市","","30,198","14,157","16,041"
"2020000000","2020年","05214","にかほ市","","23,435","11,218","12,217"
"2020000000","2020年","05215","仙北市","","24,610","11,408","13,202"
"2020000000","2020年","05303","小坂町","","4,780","2,232","2,548"
"2020000000","2020年","05327","上小阿仁村","","2,063","986","1,077"
"2020000000","2020年","05346","藤里町","","2,896","1,380","1,516"
"2020000000","2020年","05348","三種町","","15,254","7,034","8,220"
"2020000000","2020年","05349","八峰町","","6,577","3,071","3,506"
"2020000000","2020年","05361","五城目町","","8,538","3,985","4,553"
"2020000000","2020年","05363","八郎潟町","","5,583","2,534","3,049"
